customer_id,age_group,gender,loyalty_tier,total_orders,total_spend_usd,avg_rating_given,preferred_payment,preferred_branch,favorite_dish,first_order_date,last_order_date,repeat_customer,most_active_day
CUST-1026,25-34,Female,Bronze,1,8.49,4.0,Digital Wallet,Airport,Greek Salad,2024-01-20,2024-01-20,No,Saturday
CUST-1027,45-54,Male,Gold,1,39.96,5.0,Cash,Mall Branch,Shawarma Wrap,2024-08-14,2024-08-14,No,Wednesday
CUST-1028,18-24,Prefer not to say,Silver,2,71.41,5.0,Debit Card,Airport,Cheesecake,2024-08-31,2024-09-29,Yes,Saturday
CUST-1029,55+,Prefer not to say,Bronze,2,25.3,2.0,Credit Card,Mall Branch,Pepperoni Pizza,2024-08-04,2024-09-01,Yes,Sunday
CUST-1030,45-54,Female,Bronze,2,34.96,5.0,Cash,City Center,Classic Burger,2024-11-04,2024-12-28,Yes,Monday
CUST-1032,55+,Male,Bronze,1,10.18,,Debit Card,Airport,Cheesecake,2024-07-01,2024-07-01,No,Monday
CUST-1033,35-44,Prefer not to say,Silver,1,5.94,5.0,Credit Card,City Center,Chocolate Lava Cake,2024-01-26,2024-01-26,No,Friday
CUST-1034,45-54,Female,Gold,2,32.47,2.0,Debit Card,Airport,Margherita Pizza,2024-04-08,2024-05-26,Yes,Monday
CUST-1035,55+,Male,Silver,3,60.54,3.0,Cash,Suburbs,Cheesecake,2024-02-11,2024-11-23,Yes,Saturday
CUST-1036,25-34,Male,Platinum,2,14.96,5.0,Digital Wallet,Suburbs,Hot Coffee,2024-01-25,2024-03-10,Yes,Sunday
CUST-1038,45-54,Female,Bronze,2,35.47,4.0,Credit Card,Downtown,Double Cheeseburger,2024-04-21,2024-07-11,Yes,Sunday
CUST-1039,18-24,Female,Platinum,1,17.98,2.0,Credit Card,Mall Branch,Classic Burger,2024-12-09,2024-12-09,No,Monday
CUST-1040,45-54,Female,Gold,1,8.49,,Cash,Mall Branch,Falafel Wrap,2024-07-26,2024-07-26,No,Friday
CUST-1041,18-24,Prefer not to say,Bronze,2,44.72,2.0,Credit Card,Airport,Double Cheeseburger,2024-01-06,2024-04-07,Yes,Saturday
CUST-1042,35-44,Male,Platinum,1,82.45,5.0,Online,City Center,Lamb Biryani,2024-09-07,2024-09-07,No,Saturday
CUST-1043,35-44,Prefer not to say,Silver,3,45.93,4.5,Cash,Airport,Ice Cream Sundae,2024-06-15,2024-12-30,Yes,Monday
CUST-1044,18-24,Female,Platinum,1,31.98,3.0,Debit Card,Airport,BBQ Chicken Pizza,2024-04-06,2024-04-06,No,Saturday
CUST-1045,35-44,Prefer not to say,Silver,3,29.47,4.0,Cash,Airport,Classic Burger,2024-01-25,2024-05-28,Yes,Tuesday
CUST-1046,25-34,Prefer not to say,Gold,1,15.27,5.0,Debit Card,City Center,Cheesecake,2024-08-03,2024-08-03,No,Saturday
CUST-1048,18-24,Prefer not to say,Silver,2,31.95,5.0,Digital Wallet,Airport,Mango Smoothie,2024-01-30,2024-09-28,Yes,Saturday
CUST-1049,55+,Female,Bronze,2,19.98,,Cash,City Center,BBQ Chicken Pizza,2024-03-14,2024-05-18,Yes,Saturday
CUST-1051,25-34,Prefer not to say,Bronze,1,28.98,4.0,Debit Card,Mall Branch,Pepperoni Pizza,2024-12-24,2024-12-24,No,Tuesday
CUST-1052,25-34,Female,Platinum,3,49.67,4.0,Credit Card,Downtown,Greek Salad,2024-08-04,2024-11-12,Yes,Tuesday
CUST-1054,35-44,Prefer not to say,Platinum,3,58.83,1.67,Debit Card,Airport,Classic Burger,2024-01-06,2024-12-22,Yes,Sunday
CUST-1055,45-54,Female,Platinum,1,6.99,2.0,Online,Downtown,Chocolate Lava Cake,2024-11-28,2024-11-28,No,Thursday
CUST-1056,45-54,Female,Silver,1,13.49,5.0,Digital Wallet,Mall Branch,Spaghetti Carbonara,2024-01-27,2024-01-27,No,Saturday
CUST-1057,35-44,Male,Gold,1,29.97,5.0,Digital Wallet,Suburbs,Shawarma Wrap,2024-06-06,2024-06-06,No,Thursday
CUST-1058,25-34,Female,Platinum,2,71.13,2.5,Cash,City Center,Classic Burger,2024-06-19,2024-09-28,Yes,Saturday
CUST-1059,35-44,Male,Silver,5,101.38,4.0,Credit Card,City Center,Pepperoni Pizza,2024-02-02,2024-10-04,Yes,Friday
CUST-1060,45-54,Male,Bronze,1,17.98,5.0,Digital Wallet,Suburbs,Classic Burger,2024-08-19,2024-08-19,No,Monday
CUST-1062,25-34,Male,Platinum,4,49.94,4.0,Credit Card,City Center,Double Cheeseburger,2024-01-23,2024-12-09,Yes,Monday
CUST-1063,55+,Male,Bronze,4,123.41,4.0,Credit Card,Airport,Margherita Pizza,2024-02-05,2024-07-01,Yes,Monday
CUST-1064,25-34,Female,Bronze,3,69.39,4.0,Cash,Airport,Chocolate Lava Cake,2024-03-12,2024-05-05,Yes,Saturday
CUST-1065,18-24,Male,Bronze,1,8.49,4.0,Debit Card,Airport,Falafel Wrap,2024-10-27,2024-10-27,No,Sunday
CUST-1066,25-34,Prefer not to say,Silver,4,75.48,4.0,Credit Card,Suburbs,Lamb Biryani,2024-02-22,2024-12-17,Yes,Friday
CUST-1067,18-24,Prefer not to say,Silver,1,16.98,3.0,Debit Card,Airport,Falafel Wrap,2024-04-04,2024-04-04,No,Thursday
CUST-1068,25-34,Female,Bronze,3,47.4,5.0,Online,City Center,Double Cheeseburger,2024-07-14,2024-10-04,Yes,Friday
CUST-1069,45-54,Male,Bronze,2,47.4,5.0,Debit Card,City Center,Margherita Pizza,2024-04-20,2024-08-12,Yes,Monday
CUST-1070,55+,Female,Gold,3,75.43,4.0,Cash,Airport,Caesar Salad,2024-03-02,2024-10-23,Yes,Saturday
CUST-1072,45-54,Prefer not to say,Gold,3,48.95,4.67,Online,Airport,BBQ Chicken Pizza,2024-06-21,2024-12-14,Yes,Friday
CUST-1073,18-24,Female,Platinum,1,26.98,,Credit Card,Downtown,Spaghetti Carbonara,2024-01-10,2024-01-10,No,Wednesday
CUST-1074,18-24,Prefer not to say,Bronze,1,17.98,5.0,Digital Wallet,Downtown,Classic Burger,2024-10-28,2024-10-28,No,Monday
CUST-1075,45-54,Female,Gold,4,45.35,4.33,Debit Card,Airport,BBQ Chicken Pizza,2024-01-16,2024-05-26,Yes,Tuesday
CUST-1076,35-44,Female,Bronze,3,27.47,3.33,Cash,Airport,Double Cheeseburger,2024-07-08,2024-12-12,Yes,Monday
CUST-1077,35-44,Male,Gold,2,42.96,2.0,Cash,Downtown,Falafel Wrap,2024-02-03,2024-04-27,Yes,Saturday
CUST-1078,45-54,Prefer not to say,Bronze,1,8.99,,Online,Airport,Caesar Salad,2024-09-05,2024-09-05,No,Thursday
CUST-1079,45-54,Prefer not to say,Silver,1,7.22,2.0,Credit Card,Airport,Falafel Wrap,2024-03-14,2024-03-14,No,Thursday
CUST-1080,25-34,Prefer not to say,Silver,4,99.2,5.0,Digital Wallet,City Center,BBQ Chicken Pizza,2024-03-21,2024-09-16,Yes,Monday
CUST-1081,45-54,Prefer not to say,Platinum,1,8.98,4.0,Debit Card,Airport,Onion Rings,2024-09-29,2024-09-29,No,Sunday
CUST-1082,25-34,Female,Bronze,2,16.48,4.0,Credit Card,City Center,Lemonade,2024-04-29,2024-09-07,Yes,Monday
CUST-1084,18-24,Female,Gold,3,24.91,3.5,Digital Wallet,City Center,Hot Coffee,2024-02-13,2024-10-05,Yes,Tuesday
CUST-1085,18-24,Male,Platinum,3,35.29,4.5,Credit Card,City Center,Iced Coffee,2024-01-25,2024-07-14,Yes,Sunday
CUST-1087,18-24,Prefer not to say,Silver,1,25.98,,Digital Wallet,Suburbs,Margherita Pizza,2024-03-11,2024-03-11,No,Monday
CUST-1088,55+,Prefer not to say,Gold,1,49.47,4.0,Credit Card,Suburbs,Lamb Biryani,2024-08-31,2024-08-31,No,Saturday
CUST-1089,45-54,Female,Gold,4,71.93,3.0,Digital Wallet,Airport,Chocolate Lava Cake,2024-02-01,2024-07-31,Yes,Saturday
CUST-1090,55+,Male,Bronze,5,100.83,4.2,Cash,Airport,Cheesecake,2024-03-12,2024-10-19,Yes,Sunday
CUST-1091,55+,Prefer not to say,Gold,3,45.84,4.0,Debit Card,Airport,Falafel Wrap,2024-01-19,2024-10-14,Yes,Monday
CUST-1092,45-54,Prefer not to say,Platinum,2,28.96,4.5,Cash,Airport,Cheesecake,2024-06-15,2024-09-01,Yes,Saturday
CUST-1093,35-44,Prefer not to say,Silver,1,8.99,4.0,Cash,Downtown,Caesar Salad,2024-06-04,2024-06-04,No,Tuesday
CUST-1094,25-34,Prefer not to say,Platinum,1,6.99,,Credit Card,Suburbs,Mushroom Soup,2024-01-18,2024-01-18,No,Thursday
CUST-1097,35-44,Female,Silver,1,18.98,3.0,Online,City Center,Veggie Burger,2024-02-03,2024-02-03,No,Saturday
CUST-1098,55+,Male,Bronze,1,20.97,,Cash,Airport,Mushroom Soup,2024-11-28,2024-11-28,No,Thursday
CUST-1099,25-34,Male,Gold,3,94.93,5.0,Credit Card,Airport,BBQ Chicken Pizza,2024-03-14,2024-12-11,Yes,Saturday
CUST-1100,55+,Female,Platinum,2,14.53,4.0,Credit Card,Airport,Lemonade,2024-03-04,2024-06-11,Yes,Monday
CUST-1101,18-24,Prefer not to say,Gold,1,14.49,2.0,Online,Suburbs,Pepperoni Pizza,2024-05-09,2024-05-09,No,Thursday
CUST-1102,35-44,Female,Silver,3,38.93,3.5,Credit Card,Downtown,BBQ Chicken Pizza,2024-01-24,2024-11-07,Yes,Thursday
CUST-1104,25-34,Prefer not to say,Platinum,3,67.94,5.0,Credit Card,Airport,Chicken Biryani,2024-04-29,2024-11-22,Yes,Friday
CUST-1105,25-34,Female,Bronze,2,53.5,,Cash,Airport,Chicken Biryani,2024-07-18,2024-11-23,Yes,Saturday
CUST-1106,55+,Male,Gold,1,3.49,3.0,Credit Card,Suburbs,Hot Coffee,2024-09-19,2024-09-19,No,Thursday
CUST-1107,45-54,Female,Silver,4,109.9,3.75,Cash,Downtown,BBQ Chicken Pizza,2024-03-28,2024-12-21,Yes,Friday
CUST-1108,45-54,Prefer not to say,Gold,1,21.96,,Digital Wallet,Suburbs,Mango Smoothie,2024-11-29,2024-11-29,No,Friday
CUST-1109,45-54,Female,Silver,3,107.61,3.0,Debit Card,Airport,French Fries,2024-02-04,2024-12-23,Yes,Friday
CUST-1111,18-24,Prefer not to say,Silver,3,32.46,3.5,Credit Card,Airport,French Fries,2024-05-04,2024-08-10,Yes,Saturday
CUST-1112,35-44,Male,Bronze,2,31.47,5.0,Cash,Downtown,Greek Salad,2024-03-04,2024-12-07,Yes,Monday
CUST-1113,18-24,Male,Gold,3,41.96,4.0,Cash,Airport,Chicken Biryani,2024-03-12,2024-10-27,Yes,Sunday
CUST-1114,55+,Male,Platinum,2,14.97,5.0,Online,Airport,French Fries,2024-08-04,2024-10-12,Yes,Saturday
CUST-1115,55+,Female,Silver,2,36.11,5.0,Digital Wallet,City Center,Iced Coffee,2024-06-06,2024-11-22,Yes,Friday
CUST-1116,25-34,Female,Platinum,1,12.99,,Digital Wallet,Downtown,Margherita Pizza,2024-06-15,2024-06-15,No,Saturday
CUST-1117,18-24,Female,Bronze,5,71.89,4.0,Online,Airport,Mango Smoothie,2024-01-28,2024-12-31,Yes,Sunday
CUST-1118,25-34,Male,Platinum,2,29.96,4.0,Cash,Mall Branch,Ice Cream Sundae,2024-07-09,2024-08-10,Yes,Saturday
CUST-1123,45-54,Female,Bronze,3,71.93,3.67,Digital Wallet,Airport,Classic Burger,2024-02-23,2024-08-10,Yes,Friday
CUST-1125,55+,Prefer not to say,Platinum,2,31.47,5.0,Digital Wallet,Downtown,Classic Burger,2024-01-01,2024-04-19,Yes,Friday
CUST-1126,18-24,Male,Bronze,5,124.38,3.8,Digital Wallet,City Center,French Fries,2024-03-10,2024-11-17,Yes,Sunday
CUST-1127,45-54,Female,Gold,1,15.99,5.0,Digital Wallet,Suburbs,BBQ Chicken Pizza,2024-07-01,2024-07-01,No,Monday
CUST-1128,55+,Prefer not to say,Platinum,3,55.08,4.67,Credit Card,Suburbs,Margherita Pizza,2024-04-04,2024-06-19,Yes,Friday
CUST-1129,55+,Prefer not to say,Silver,5,61.66,3.8,Cash,Mall Branch,Chicken Biryani,2024-04-30,2024-11-03,Yes,Sunday
CUST-1130,35-44,Male,Gold,3,61.42,5.0,Digital Wallet,Downtown,Chicken Biryani,2024-01-21,2024-10-06,Yes,Sunday
CUST-1132,45-54,Female,Silver,1,8.99,5.0,Cash,City Center,Classic Burger,2024-11-13,2024-11-13,No,Wednesday
CUST-1133,55+,Male,Gold,3,79.02,4.33,Credit Card,Airport,Spaghetti Carbonara,2024-04-16,2024-11-29,Yes,Friday
CUST-1135,35-44,Prefer not to say,Bronze,2,22.48,4.5,Cash,Airport,Chicken Biryani,2024-05-30,2024-11-16,Yes,Saturday
CUST-1136,35-44,Prefer not to say,Gold,2,23.97,4.0,Debit Card,City Center,Ice Cream Sundae,2024-01-31,2024-05-26,Yes,Sunday
CUST-1137,35-44,Male,Silver,2,35.96,5.0,Digital Wallet,Mall Branch,Falafel Wrap,2024-02-04,2024-09-30,Yes,Monday
CUST-1138,55+,Prefer not to say,Platinum,3,30.47,5.0,Debit Card,Suburbs,Shawarma Wrap,2024-05-27,2024-10-05,Yes,Monday
CUST-1139,25-34,Prefer not to say,Silver,2,51.45,4.5,Cash,Mall Branch,BBQ Chicken Pizza,2024-01-15,2024-12-08,Yes,Monday
CUST-1140,35-44,Female,Platinum,3,36.95,2.5,Digital Wallet,City Center,Onion Rings,2024-02-12,2024-11-24,Yes,Sunday
CUST-1141,55+,Male,Bronze,2,48.94,2.5,Credit Card,City Center,Chicken Biryani,2024-01-08,2024-05-17,Yes,Friday
CUST-1142,35-44,Female,Platinum,5,50.95,3.0,Debit Card,Mall Branch,Chicken Biryani,2024-05-11,2024-10-26,Yes,Saturday
CUST-1143,18-24,Male,Platinum,3,32.92,2.67,Online,City Center,Chocolate Lava Cake,2024-01-15,2024-12-05,Yes,Thursday
CUST-1144,35-44,Male,Silver,7,129.56,3.4,Cash,Airport,Classic Burger,2024-02-03,2024-10-20,Yes,Sunday
CUST-1145,55+,Prefer not to say,Silver,3,62.92,4.67,Credit Card,Airport,French Fries,2024-01-27,2024-03-19,Yes,Saturday
CUST-1146,18-24,Female,Silver,3,44.96,4.0,Credit Card,Airport,Chicken Biryani,2024-05-19,2024-10-07,Yes,Friday
CUST-1147,18-24,Female,Bronze,3,19.97,3.5,Cash,Airport,Cheesecake,2024-04-19,2024-10-10,Yes,Friday
CUST-1148,45-54,Prefer not to say,Bronze,1,11.88,,Digital Wallet,City Center,Chocolate Lava Cake,2024-12-06,2024-12-06,No,Friday
CUST-1149,55+,Male,Gold,3,64.92,3.33,Credit Card,Suburbs,French Fries,2024-02-11,2024-06-30,Yes,Sunday
CUST-1150,55+,Prefer not to say,Platinum,7,94.02,4.5,Cash,Airport,Classic Burger,2024-02-15,2024-12-19,Yes,Thursday
CUST-1151,55+,Female,Bronze,2,33.96,5.0,Credit Card,Airport,French Fries,2024-04-09,2024-08-04,Yes,Sunday
CUST-1152,18-24,Female,Bronze,3,49.95,3.67,Debit Card,Suburbs,Classic Burger,2024-08-22,2024-09-08,Yes,Sunday
CUST-1153,55+,Prefer not to say,Silver,1,6.99,5.0,Credit Card,Suburbs,Mushroom Soup,2024-01-08,2024-01-08,No,Monday
CUST-1154,25-34,Female,Gold,2,26.98,,Debit Card,Airport,Chicken Biryani,2024-08-17,2024-12-11,Yes,Saturday
CUST-1155,18-24,Male,Silver,1,31.98,,Digital Wallet,Suburbs,BBQ Chicken Pizza,2024-09-14,2024-09-14,No,Saturday
CUST-1157,55+,Prefer not to say,Gold,2,17.43,3.5,Cash,Airport,Double Cheeseburger,2024-02-09,2024-06-30,Yes,Friday
CUST-1158,35-44,Female,Bronze,1,11.97,4.0,Cash,Downtown,French Fries,2024-07-03,2024-07-03,No,Wednesday
CUST-1159,55+,Male,Silver,1,28.47,4.0,Digital Wallet,Mall Branch,Veggie Burger,2024-02-07,2024-02-07,No,Wednesday
CUST-1160,45-54,Prefer not to say,Bronze,1,11.97,,Credit Card,Airport,French Fries,2024-11-23,2024-11-23,No,Saturday
CUST-1161,35-44,Prefer not to say,Platinum,2,46.46,4.0,Debit Card,City Center,Chicken Biryani,2024-11-12,2024-11-12,Yes,Tuesday
CUST-1163,35-44,Male,Gold,2,77.95,4.0,Cash,Mall Branch,Lamb Biryani,2024-08-29,2024-10-04,Yes,Friday
CUST-1164,18-24,Female,Gold,3,107.92,4.0,Credit Card,City Center,BBQ Chicken Pizza,2024-07-30,2024-08-31,Yes,Friday
CUST-1165,25-34,Prefer not to say,Silver,3,47.46,3.33,Cash,Mall Branch,Classic Burger,2024-03-26,2024-12-09,Yes,Monday
CUST-1168,18-24,Male,Gold,3,70.44,4.67,Cash,Airport,BBQ Chicken Pizza,2024-05-13,2024-12-14,Yes,Monday
CUST-1169,18-24,Prefer not to say,Bronze,3,20.96,5.0,Cash,City Center,French Fries,2024-03-18,2024-07-09,Yes,Monday
CUST-1170,45-54,Prefer not to say,Platinum,3,45.71,5.0,Online,City Center,BBQ Chicken Pizza,2024-01-14,2024-06-09,Yes,Sunday
CUST-1171,45-54,Female,Gold,1,35.67,5.0,Credit Card,Downtown,Chicken Biryani,2024-11-02,2024-11-02,No,Saturday
CUST-1172,35-44,Male,Bronze,4,47.44,4.33,Debit Card,Downtown,Chicken Biryani,2024-01-22,2024-12-04,Yes,Wednesday
CUST-1173,35-44,Male,Gold,1,5.49,,Credit Card,Mall Branch,Mango Smoothie,2024-06-06,2024-06-06,No,Thursday
CUST-1175,45-54,Prefer not to say,Platinum,3,74.41,4.33,Cash,City Center,Chicken Biryani,2024-03-27,2024-07-05,Yes,Friday
CUST-1176,18-24,Prefer not to say,Silver,1,40.47,3.0,Debit Card,Mall Branch,Spaghetti Carbonara,2024-01-31,2024-01-31,No,Wednesday
CUST-1177,45-54,Female,Silver,1,5.49,4.0,Credit Card,Airport,Ice Cream Sundae,2024-07-24,2024-07-24,No,Wednesday
CUST-1180,25-34,Female,Bronze,2,64.95,4.0,Cash,Mall Branch,BBQ Chicken Pizza,2024-10-27,2024-11-11,Yes,Monday
CUST-1181,35-44,Male,Gold,3,36.04,4.5,Debit Card,City Center,BBQ Chicken Pizza,2024-06-09,2024-10-19,Yes,Saturday
CUST-1182,45-54,Female,Bronze,1,47.97,,Cash,Suburbs,BBQ Chicken Pizza,2024-04-13,2024-04-13,No,Saturday
CUST-1184,35-44,Male,Platinum,3,58.92,5.0,Credit Card,Airport,Cheesecake,2024-03-10,2024-12-04,Yes,Friday
CUST-1185,25-34,Male,Gold,2,14.97,3.5,Debit Card,Downtown,French Fries,2024-06-17,2024-07-27,Yes,Monday
CUST-1186,45-54,Female,Bronze,1,56.08,5.0,Debit Card,Downtown,Lamb Biryani,2024-09-15,2024-09-15,No,Sunday
CUST-1187,35-44,Prefer not to say,Silver,3,42.97,5.0,Cash,Airport,Cheesecake,2024-06-02,2024-10-04,Yes,Sunday
CUST-1188,35-44,Prefer not to say,Silver,4,111.5,3.33,Cash,Downtown,Hot Coffee,2024-04-21,2024-11-19,Yes,Saturday
CUST-1191,45-54,Female,Gold,5,127.7,3.67,Cash,Suburbs,Classic Burger,2024-07-16,2024-11-29,Yes,Friday
CUST-1193,18-24,Female,Silver,1,7.98,4.0,Credit Card,Airport,French Fries,2024-12-28,2024-12-28,No,Saturday
CUST-1194,45-54,Prefer not to say,Gold,1,11.89,,Debit Card,Suburbs,Chicken Biryani,2024-06-01,2024-06-01,No,Saturday
CUST-1195,45-54,Female,Silver,1,8.49,,Credit Card,Suburbs,Falafel Wrap,2024-05-20,2024-05-20,No,Monday
CUST-1196,18-24,Female,Bronze,3,53.45,3.0,Credit Card,Airport,Classic Burger,2024-05-29,2024-08-07,Yes,Wednesday
CUST-1197,35-44,Female,Bronze,1,11.49,4.0,Debit Card,Suburbs,Double Cheeseburger,2024-07-09,2024-07-09,No,Tuesday
CUST-1198,18-24,Female,Gold,2,83.94,3.5,Credit Card,Downtown,BBQ Chicken Pizza,2024-07-15,2024-12-20,Yes,Friday
CUST-1199,18-24,Prefer not to say,Platinum,2,55.45,4.5,Cash,City Center,Double Cheeseburger,2024-06-27,2024-10-23,Yes,Thursday
CUST-1200,35-44,Male,Bronze,2,23.78,1.0,Cash,Airport,Iced Coffee,2024-02-21,2024-08-12,Yes,Monday
CUST-1201,18-24,Prefer not to say,Silver,6,103.04,4.4,Credit Card,Airport,Shawarma Wrap,2024-03-02,2024-09-15,Yes,Saturday
CUST-1202,35-44,Female,Silver,4,66.26,3.75,Cash,Airport,Double Cheeseburger,2024-01-24,2024-11-06,Yes,Wednesday
CUST-1203,35-44,Prefer not to say,Platinum,1,26.97,4.0,Debit Card,Airport,Classic Burger,2024-05-13,2024-05-13,No,Monday
CUST-1204,25-34,Female,Silver,1,49.95,3.0,Online,Suburbs,Shawarma Wrap,2024-11-21,2024-11-21,No,Thursday
CUST-1205,55+,Female,Platinum,1,27.98,,Digital Wallet,City Center,Chicken Biryani,2024-10-06,2024-10-06,No,Sunday
CUST-1206,45-54,Female,Gold,2,88.73,5.0,Cash,Airport,Chicken Biryani,2024-03-20,2024-09-18,Yes,Wednesday
CUST-1207,35-44,Male,Silver,2,55.95,5.0,Credit Card,Airport,BBQ Chicken Pizza,2024-01-22,2024-01-25,Yes,Monday
CUST-1208,25-34,Female,Platinum,2,78.28,4.0,Digital Wallet,City Center,Lamb Biryani,2024-10-02,2024-11-17,Yes,Sunday
CUST-1209,18-24,Female,Gold,3,17.58,3.33,Cash,Mall Branch,Double Cheeseburger,2024-01-27,2024-08-14,Yes,Saturday
CUST-1210,18-24,Male,Platinum,2,16.41,,Cash,Mall Branch,Hot Coffee,2024-02-02,2024-07-08,Yes,Friday
CUST-1211,35-44,Prefer not to say,Bronze,6,83.01,3.8,Cash,Downtown,French Fries,2024-04-20,2024-11-17,Yes,Saturday
CUST-1212,25-34,Prefer not to say,Silver,2,68.04,4.5,Online,City Center,Lamb Biryani,2024-04-27,2024-11-27,Yes,Saturday
CUST-1213,45-54,Female,Platinum,2,42.47,4.0,Cash,Airport,Pepperoni Pizza,2024-04-07,2024-11-16,Yes,Saturday
CUST-1214,35-44,Male,Silver,2,55.45,4.5,Online,City Center,Lemonade,2024-05-25,2024-10-28,Yes,Monday
CUST-1215,45-54,Female,Gold,3,54.93,4.0,Cash,Mall Branch,Hot Coffee,2024-02-11,2024-12-29,Yes,Sunday
CUST-1216,45-54,Male,Platinum,2,20.97,4.0,Digital Wallet,Airport,French Fries,2024-08-22,2024-10-16,Yes,Thursday
CUST-1217,35-44,Female,Gold,3,67.44,5.0,Online,Airport,Hot Coffee,2024-06-27,2024-10-31,Yes,Thursday
CUST-1218,35-44,Male,Silver,1,12.99,,Debit Card,Suburbs,Margherita Pizza,2024-11-21,2024-11-21,No,Thursday
CUST-1219,35-44,Prefer not to say,Silver,3,84.44,3.67,Cash,Airport,Classic Burger,2024-10-16,2024-12-16,Yes,Monday
CUST-1220,55+,Female,Gold,1,16.98,,Debit Card,Mall Branch,Greek Salad,2024-07-20,2024-07-20,No,Saturday
CUST-1222,55+,Female,Gold,3,73.45,3.33,Cash,Airport,Lamb Biryani,2024-01-07,2024-03-11,Yes,Sunday
CUST-1223,25-34,Female,Gold,1,47.96,4.0,Debit Card,Suburbs,Penne Arrabbiata,2024-04-14,2024-04-14,No,Sunday
CUST-1224,25-34,Male,Bronze,1,16.49,4.0,Online,Mall Branch,Lamb Biryani,2024-05-14,2024-05-14,No,Tuesday
CUST-1225,55+,Female,Platinum,2,17.48,5.0,Digital Wallet,Airport,Cheesecake,2024-04-26,2024-10-12,Yes,Friday
CUST-1226,18-24,Female,Gold,3,94.92,4.0,Credit Card,City Center,Caesar Salad,2024-02-01,2024-11-10,Yes,Thursday
CUST-1227,35-44,Female,Platinum,1,2.97,,Online,Mall Branch,Hot Coffee,2024-02-28,2024-02-28,No,Wednesday
CUST-1228,35-44,Prefer not to say,Silver,1,8.98,,Online,Suburbs,Iced Coffee,2024-07-05,2024-07-05,No,Friday
CUST-1229,55+,Prefer not to say,Bronze,1,39.96,2.0,Online,Downtown,Shawarma Wrap,2024-12-03,2024-12-03,No,Tuesday
